# element, slope, slope_errp, slope_errm, intercept, intercept_errp, intercept_errm, jitter, jitter_errp, jitter_errm
CI,0.013550260092175002,0.0012858230942411723,0.0013833343688902065,-0.08233262068768349,0.009574017201515933,0.009482931341249654,0.04695273668759948,0.00460569361585117,0.004062275389951742
CH,0.013550260092175002,0.0012858230942411723,0.0013833343688902065,-0.10324952029083999,0.00823663049336687,0.007767139274426904,0.0296609683340455,0.002914884001961937,0.002320107598168031
OI,0.01490753427369052,0.0017793458432537428,0.0018185097965796766,-0.046907041378635494,0.010548260284723214,0.010820825699091194,0.03722169628215859,0.0036652340304801356,0.0034787205886421813
NaI,0.009461619217430649,0.0013644015036130535,0.0012816206788644324,-0.06425976648432127,0.008082714856550828,0.00807970843914832,0.028219512341040774,0.0029368564151484033,0.0025531359313468727
MgI,0.01584608029559331,0.0013528918951088813,0.0014380996613366746,-0.05825615325493799,0.007860467544728252,0.00807849476558302,0.02810886346181737,0.0029474319264846116,0.002675990273212747
AlI,0.01993597568167993,0.0015111284639470757,0.0014964689047316099,-0.08056000785252616,0.009075064436950372,0.00921022119045814,0.03250868460709744,0.0032245599127984637,0.002933816799854272
SiI,0.009259086930264046,0.00084062832444891,0.0008937336667217445,-0.04063927156908968,0.0051926438749206605,0.005098329385832094,0.01877742799336696,0.0016564204922626669,0.00146674679611003
SI,0.013092856133159882,0.0014709750254464152,0.0015814524136693875,-0.06534353771163978,0.009267002468478266,0.008803732247103818,0.02722158114481371,0.003275713701435201,0.0030338597420711544
CaI,0.0019133192192644396,0.000792025388361321,0.0007416602352527052,0.01138581428922349,0.004585356014041642,0.004730029885992601,0.016343483915594682,0.0014704389496589254,0.0013764584777062883
ScI,0.009342438654587745,0.0011496005778500844,0.0010231242727014797,-0.03968443255885912,0.0060351726931108796,0.0069106510485099915,0.022288351728194957,0.0027668961005167247,0.0025130952118566086
ScII,0.009342438654587745,0.0011496005778500844,0.0010231242727014797,-0.03146844254668871,0.0066492039183612475,0.007180806925433672,0.029636109388524227,0.0032679281248524372,0.0027177389665233864
TiI,0.008964965836382148,0.0009184511290020667,0.0009388057615616532,-0.02110235954445153,0.005974217247433239,0.005913440994296491,0.028187081909777357,0.0025828292442344747,0.0023045551953637666
TiII,0.008964965836382148,0.0009184511290020667,0.0009388057615616532,-0.027420672644136314,0.00596982189318359,0.005831387108027934,0.027459935383728717,0.0025341309527007194,0.002364266090986833
VI,0.004909568893597716,0.0009187290948413918,0.0009740282920284614,-0.014835708667827338,0.005877838533873371,0.005624337383972871,0.0202177064239491,0.002081271012342123,0.0016826321215885898
CrI,-0.0008878074567614759,0.0002904090658103675,0.0002702556281855505,0.006609879609944578,0.001655446884724232,0.0018167063435769555,0.006131610378810313,0.0008249176586427875,0.0008344598623373223
CrII,-0.0008878074567614759,0.0002904090658103675,0.0002702556281855505,0.010608452650797986,0.0016882961046166614,0.0019266815101797539,0.0005922073247807793,0.0005763634993138922,3.0276881179513992e-05
