id, tc_slope, tc_slope_err, tc_slope_nov, tc_slope_err_nov, tc_std_nov, tc_slope_gce, tc_slope_err_gce, tc_slope_gce_nov, tc_slope_err_gce_nov, tc_std_gce_nov 
HIP10175, 9.049680e-05, 3.489326e-05, 2.345015e-04, 6.385567e-05, 5.208318e-02, 6.186849e-05, 2.742155e-05, 1.895507e-04, 5.047913e-05, 4.149104e-02 
HIP101905, 5.644113e-05, 4.144646e-05, 4.843910e-05, 5.967683e-05, 5.995957e-02, 8.352305e-05, 1.753755e-05, 1.388482e-04, 2.547991e-05, 2.524405e-02 
HIP102040, 6.384107e-05, 3.019638e-05, 2.521098e-04, 4.794317e-05, 5.631981e-02, 3.909127e-05, 2.698536e-05, 1.908002e-04, 4.326538e-05, 4.624457e-02 
HIP102152, -1.880554e-05, 2.481065e-05, -3.579513e-06, 3.897398e-05, 3.781231e-02, 3.933001e-05, 1.948675e-05, 8.885328e-05, 3.343526e-05, 3.488207e-02 
HIP10303, 2.557521e-05, 8.535569e-06, 1.227384e-05, 1.881626e-05, 1.669932e-02, 4.095048e-05, 9.801788e-06, 3.427948e-05, 2.248538e-05, 1.757265e-02 
HIP104045, 2.635034e-05, 1.125265e-05, 3.644414e-05, 1.857377e-05, 2.716722e-02, 2.740814e-05, 1.123516e-05, 3.913934e-05, 1.968719e-05, 2.711622e-02 
HIP105184, 1.565796e-04, 4.927551e-05, 3.013304e-04, 7.662909e-05, 6.791688e-02, 6.490114e-05, 2.833614e-05, 1.753657e-04, 4.697392e-05, 4.019567e-02 
HIP108158, -3.396484e-05, 4.134635e-05, 6.645701e-06, 6.979330e-05, 6.770114e-02, 2.155954e-05, 2.238195e-05, 1.166937e-04, 3.416302e-05, 3.562634e-02 
HIP108468, -6.757125e-07, 3.443658e-05, 4.896530e-05, 6.206001e-05, 5.200161e-02, 4.063916e-05, 2.509692e-05, 1.254759e-04, 4.617689e-05, 4.567914e-02 
HIP109821, 4.213001e-05, 4.046673e-05, 1.664391e-04, 6.615983e-05, 5.738905e-02, 9.962549e-05, 3.501324e-05, 2.487015e-04, 5.074789e-05, 4.918486e-02 
HIP114328, -2.742111e-05, 1.923097e-05, -2.560017e-05, 2.163712e-05, 3.300718e-02, -1.229977e-05, 1.298590e-05, -1.034555e-05, 1.574958e-05, 2.490093e-02 
HIP114615, 9.878539e-05, 4.253960e-05, 2.986344e-04, 6.796453e-05, 5.919320e-02, -1.197108e-06, 2.511922e-05, 1.046577e-04, 4.701828e-05, 4.021209e-02 
HIP115577, -4.372174e-05, 4.319401e-05, -2.837216e-06, 7.888120e-05, 6.714535e-02, 3.389598e-05, 2.349268e-05, 1.508385e-04, 3.823376e-05, 3.474140e-02 
HIP116906, -2.742020e-05, 2.500323e-05, -5.572265e-05, 3.812829e-05, 4.666962e-02, 3.502688e-05, 1.673931e-05, 4.332539e-05, 2.866611e-05, 3.690170e-02 
HIP117367, -2.994320e-05, 1.502077e-05, -5.142001e-05, 2.850646e-05, 2.951003e-02, -4.318977e-06, 1.076040e-05, -1.920126e-05, 2.085336e-05, 2.322507e-02 
