id, tc_slope, tc_slope_err, tc_slope_gce, tc_slope_err_gce 
HIP10175, 2.393357e-04, 6.449339e-05, 1.955017e-04, 5.182444e-05 
HIP101905, 5.843224e-05, 5.290269e-05, 1.388482e-04, 2.456273e-05 
HIP102040, 2.705430e-04, 5.226499e-05, 2.030705e-04, 4.882474e-05 
HIP102152, -3.579509e-06, 3.758765e-05, 8.885327e-05, 3.233168e-05 
HIP10303, 1.659350e-05, 2.188726e-05, 3.250173e-05, 8.686423e-05 
HIP104045, 3.644571e-05, 1.790887e-05, 3.913933e-05, 1.898866e-05 
HIP105184, 3.151324e-04, 7.884524e-05, 1.898343e-04, 5.079947e-05 
HIP108158, 4.058476e-06, 7.451110e-05, 1.343087e-04, 3.968779e-05 
HIP108468, 4.896531e-05, 5.978588e-05, 1.254759e-04, 4.465797e-05 
HIP109821, 1.863865e-04, 6.991245e-05, 2.592194e-04, 5.390934e-05 
HIP114328, 1.324073e-04, 1.028627e-04, -5.424904e-07, 3.370279e-05 
HIP114615, 3.125319e-04, 6.825490e-05, 1.134900e-04, 4.976894e-05 
HIP115577, -2.583419e-05, 8.205318e-05, 1.500666e-04, 4.201605e-05 
HIP116906, -5.790400e-05, 7.109447e-05, 4.330419e-05, 2.029897e-05 
HIP117367, -4.861177e-05, 2.861104e-05, -1.665488e-05, 3.464839e-05 
HIP118115, 2.034710e-05, 5.906990e-05, 1.603478e-04, 4.685555e-05 
HIP11915, 3.497651e-05, 5.387680e-05, 1.122290e-04, 4.845488e-05 
HIP14501, 2.429207e-04, 3.632699e-04, 2.382948e-04, 5.870281e-05 
HIP14614, 1.580872e-04, 4.952727e-05, 1.744429e-04, 5.248015e-05 
HIP15527, 1.958349e-05, 5.148066e-05, 1.189846e-04, 3.860024e-05 
HIP18844, 1.288412e-05, 1.670196e-04, 1.651936e-05, 3.148681e-05 
HIP1954, 1.657244e-04, 4.094076e-05, 1.399592e-04, 3.523795e-05 
HIP22263, 3.347417e-04, 8.700999e-05, 1.658991e-04, 4.825104e-05 
HIP25670, 4.579320e-05, 1.147899e-05, 6.061428e-05, 1.500244e-05 
HIP28066, 1.418395e-04, 9.457781e-05, 2.555191e-04, 6.352455e-05 
HIP29432, 8.229505e-05, 3.374364e-05, 1.076399e-04, 4.097088e-05 
HIP29525, 4.570073e-04, 9.015430e-05, 2.108427e-04, 6.114408e-05 
HIP30037, 1.973158e-05, 3.087267e-05, 7.369972e-05, 4.624894e-05 
HIP30158, 7.978646e-05, 3.209349e-05, 5.890683e-05, 3.705004e-05 
HIP30476, 4.503910e-05, 7.868934e-05, 1.834317e-04, 4.338193e-05 
HIP30502, 2.839258e-05, 1.188205e-05, 1.314425e-04, 2.513927e-05 
HIP3203, 2.700653e-04, 1.081210e-04, 2.073243e-04, 7.399706e-05 
HIP33094, 1.852225e-05, 9.449987e-05, 1.656275e-04, 4.598407e-05 
