id,age_mp,age_ll1s,age_ul1s,age_ll2s,age_ul2s,age_mean,age_std,mass_mp,mass_ll1s,mass_ul1s,mass_ll2s,mass_ul2s,mass_mean,mass_std
HIP10175,3.1,2.8,3.5,2.4,4.4,3.2,0.4,0.99,0.983,1.007,0.978,1.018,0.99,0.002
HIP101905,1.2,0.9,1.5,0.7,1.8,1.2,0.3,1.08,1.073,1.097,1.067,1.108,1.08,0.002
HIP102040,2.4,2,2.8,1.6,3.1,2.4,0.4,1.02,1.013,1.034,1.01,1.039,1.02,0.002
HIP102152,8.6,8.2,8.9,7.9,9.2,8.6,0.3,0.98,0.972,0.997,0.962,1.022,0.978,0.004
HIP10303,5.9,5.5,6.3,5,6.6,5.8,0.4,1.01,1.003,1.025,1,1.334,1.011,0.003
HIP104045,4.1,3.8,5,3.4,5.4,4.5,0.5,1.03,1.021,1.046,1.012,1.077,1.027,0.005
HIP105184,0.6,0.3,1.1,0.1,1.8,0.7,0.4,1.05,1.042,1.064,1.033,1.069,1.05,0.006
HIP108158,8.1,7.8,8.4,7.6,8.7,8.1,0.3,1.02,1.013,1.034,1.01,1.039,1.021,0.002
HIP108468,7,6.7,7.3,6.4,7.6,7,0.3,1.01,1.002,1.024,0.992,1.029,1.006,0.005
HIP109821,8.9,8.6,9.2,8.3,9.4,8.9,0.3,0.98,0.973,0.997,0.967,1.008,0.98,0.002
HIP114328,6.8,6.5,7.2,6.1,7.5,6.8,0.3,0.99,0.983,0.998,0.98,1.03,0.992,0.004
HIP114615,0.5,0.2,1.7,0.1,2.1,1.1,0.7,1.03,1.021,1.047,1.011,1.058,1.027,0.005
HIP115577,8.8,8.5,9.1,8.3,9.2,8.8,0.3,1.02,1.013,1.037,1.006,1.048,1.019,0.002
HIP116906,6.7,6.4,7,6,7.3,6.7,0.3,1.01,1.003,1.027,1,1.038,1.01,0.001
HIP117367,5.7,5.4,6,5.2,6.3,5.7,0.3,1.04,1.033,1.056,1.03,1.067,1.04,0.001
HIP118115,8,7.7,8.3,7.4,8.6,8,0.3,1.01,1.003,1.017,1,1.02,1.013,0.005
HIP11915,3.6,2.9,4.1,2.4,4.6,3.4,0.6,0.99,0.982,0.999,0.974,1.02,0.993,0.007
HIP14501,8.8,8.5,9.1,8.1,9.4,8.8,0.3,0.98,0.972,0.997,0.964,1.008,0.979,0.003
HIP14614,4.7,4.1,5.1,3.6,5.7,4.6,0.5,0.99,0.981,1.004,0.972,1.009,0.986,0.006
HIP15527,7.7,7.4,8.1,7.1,8.4,7.7,0.3,0.99,0.982,1.004,0.972,1.009,0.986,0.005
HIP18844,7,6.6,7.3,6.2,7.6,6.9,0.3,1,0.992,1.014,0.983,1.019,0.997,0.004
HIP1954,4.8,4,5.1,3.6,5.3,4.4,0.5,0.97,0.963,0.987,0.96,0.998,0.97,0.002
HIP22263,0.8,0.4,1.1,0.2,1.3,0.7,0.3,1.05,1.043,1.058,1.04,1.066,1.052,0.004
