id,teff,logg,feh_model,vt,feh,err_feh_,feh1,err_feh1,nfe1,feh2,err_feh2,nfe2,slope_ep,err_slope_ep,slope_rew,err_slope_rew,stop_iter,converged,err_teff,err_logg,err_feh,err_vt,plx,err_plx,v,err_v,REF
HIP10175,5719,4.485,-0.027,0.97,-0.028,0.011,-0.029,0.011,98,-0.026,0.013,17,0.000128,0.000826,-0.003141,0.004314,19,TRUE,3,0.01,0.002,0.01,23.32,0.28,8.18,0.016,GAIA
HIP101905,5906,4.5,0.083,1.08,0.088,0.013,0.088,0.013,98,0.09,0.013,17,-0.000111,0.000943,0.000392,0.004907,20,TRUE,5,0.011,0.004,0.01,29.47,0.59,7.328,0.008,GAIA
HIP102040,5853,4.48,-0.081,1.05,-0.08,0.012,-0.079,0.012,98,-0.083,0.011,17,-0.000256,0.0009,0.001584,0.004292,23,TRUE,4,0.012,0.003,0.01,47.79,0.75,6.425,0.004,Kharchenko2009
HIP102152,5718,4.325,-0.018,0.99,-0.016,0.011,-0.016,0.011,98,-0.019,0.011,17,-0.000578,0.000851,0.006889,0.004502,18,TRUE,4,0.011,0.003,0.01,13.08,0.97,9.156,0.024,GAIA
HIP10303,5712,4.395,0.102,0.94,0.104,0.011,0.104,0.011,98,0.1,0.011,17,-0.00039,0.000834,0.007497,0.004752,20,TRUE,3,0.01,0.003,0.01,23.43,9.5,7.629,0.013,Kharchenko2009
HIP104045,5826,4.41,0.05,1.04,0.051,0.01,0.052,0.01,98,0.05,0.01,17,-0.000103,0.000759,0.006475,0.003961,17,TRUE,3,0.01,0.003,0.01,18.91,0.46,8.336,0.014,GAIA
HIP105184,5843,4.51,0.006,1.05,0.003,0.013,0.003,0.013,98,0.003,0.014,17,0.000488,0.000947,-0.001609,0.004785,21,TRUE,6,0.011,0.004,0.01,41.61,0.88,6.752,0.004,Kharchenko2009
HIP108158,5675,4.285,0.057,1.01,0.055,0.012,0.054,0.012,98,0.057,0.015,17,-0.000185,0.000857,-0.001838,0.004888,24,TRUE,4,0.011,0.003,0.01,26.2,0.24,7.428,0.008,GAIA
HIP108468,5841,4.35,-0.098,1.13,-0.096,0.011,-0.096,0.011,98,-0.095,0.012,17,0.00016,0.00081,0.000187,0.003871,22,TRUE,4,0.011,0.004,0.01,29.41,0.26,7.157,0.008,GAIA
HIP109821,5747,4.31,-0.11,1.06,-0.108,0.01,-0.109,0.01,98,-0.105,0.008,17,0.000939,0.000748,-0.002577,0.003742,15,TRUE,4,0.011,0.004,0.01,45.18,0.69,6.223,0.009,Kharchenko2009
