         HD     [Fe/H]     [O/Fe]    sigma

       2071    -0.084    -0.022     0.023

      8406    -0.105    -0.028     0.031

     20782    -0.058     0.024     0.019

     27063     0.064    -0.078     0.027

     28471    -0.054     0.006     0.025

     38277    -0.070     0.049     0.022

     45184     0.047    -0.055     0.021

     45289    -0.020     0.146     0.024

     71334    -0.075     0.031     0.035

     78429     0.078     0.004     0.015

     88084    -0.091    -0.010     0.022

     92719    -0.112    -0.009     0.023

     96116     0.006    -0.046     0.028

     96423     0.113    -0.076     0.019

  134664     0.093    -0.087     0.021

   146233     0.046    -0.028     0.020

   183658     0.035    -0.040     0.025

   208704    -0.091     0.033     0.019

   210918    -0.095     0.146     0.016

   220507     0.013     0.159     0.014

  222582    -0.004     0.043     0.017
